sourceDomainId,targetDomainId,created,dataSources,type,updated
uniprot.Q9NRW3,entrez.27350,2023-04-02T23:15:53.825000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.825000
uniprot.Q8IUX4,entrez.200316,2023-04-02T23:15:53.825000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.825000
uniprot.Q9HC16,entrez.60489,2023-04-02T23:15:53.825000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.825000
uniprot.Q6NTF7,entrez.164668,2023-04-02T23:15:53.825000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.825000
uniprot.O95477,entrez.19,2023-04-02T23:15:53.826000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.826000
uniprot.Q9BZC7,entrez.20,2023-04-02T23:15:53.826000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.826000
uniprot.Q99758,entrez.21,2023-04-02T23:15:53.826000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.826000
uniprot.P78363,entrez.24,2023-04-02T23:15:53.826000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.826000
uniprot.Q8WWZ7,entrez.23461,2023-04-02T23:15:53.826000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.826000
uniprot.Q8N139,entrez.23460,2023-04-02T23:15:53.826000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.826000
uniprot.Q8IZY2,entrez.10347,2023-04-02T23:15:53.826000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.826000
uniprot.O94911,entrez.10351,2023-04-02T23:15:53.826000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.826000
uniprot.Q8IUA7,entrez.10350,2023-04-02T23:15:53.826000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.826000
uniprot.Q8WWZ4,entrez.10349,2023-04-02T23:15:53.826000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.826000
uniprot.Q86UK0,entrez.26154,2023-04-02T23:15:53.826000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.826000
uniprot.Q86UQ4,entrez.154664,2023-04-02T23:15:53.826000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.826000
uniprot.Q2M3G0,entrez.340273,2023-04-02T23:15:53.826000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.826000
uniprot.Q9NP58,entrez.10058,2023-04-02T23:15:53.826000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.826000
uniprot.O75027,entrez.22,2023-04-02T23:15:53.826000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.826000
uniprot.Q9NP78,entrez.23457,2023-04-02T23:15:53.826000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.826000
uniprot.Q9NRK6,entrez.23456,2023-04-02T23:15:53.826000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.826000
uniprot.O95342,entrez.8647,2023-04-02T23:15:53.826000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.826000
uniprot.Q09428,entrez.6833,2023-04-02T23:15:53.827000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.827000
uniprot.O60706,entrez.10060,2023-04-02T23:15:53.827000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.827000
uniprot.P33897,entrez.215,2023-04-02T23:15:53.827000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.827000
uniprot.Q9UBJ2,entrez.225,2023-04-02T23:15:53.827000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.827000
